#,Type,Question,Expected answer (DRAFT - VERIFY),Source article (DRAFT - VERIFY),Where to look (PDF + page),Quote to confirm / scoring note,VERIFIED? (y/n),Mizan's answer,Answer verdict,Citation correct?,Notes
1,normal,What is the standard rate of VAT in the UAE?,5% on any taxable supply or import.,"VAT Law 8/2017, Art. 3",VAT-Law p.7,'a standard rate of 5% Tax shall be imposed on any supply or Import',Y,,,,
2,normal,What is the mandatory VAT registration threshold in the UAE?,"AED 375,000 of taxable supplies over the previous 12 months, or anticipated in the next 30 days.","VAT Exec Reg 52/2017, Art. 7(1) for the figure; VAT Law 8/2017, Art. 13(1) for the obligation",ExecReg p.7 ; VAT-Law p.10,"'The Mandatory Registration Threshold shall be AED 375,000'. The FIGURE is in the Exec Reg, NOT in VAT Law Art 13.",Y,,,,
3,normal,What is the voluntary VAT registration threshold?,"AED 187,500 of taxable supplies or taxable expenses.","VAT Exec Reg 52/2017, Art. 8(1); VAT Law 8/2017, Art. 17",ExecReg p.8 ; VAT-Law p.12,"'The Voluntary Registration Threshold shall be AED 187,500'",Y,,,,
4,normal,How long do I have to apply for VAT registration after I cross the threshold?,30 days from being required to register.,"VAT Exec Reg 52/2017, Art. 7(2)",ExecReg p.7,'must file a Tax Registration application with the Authority within 30 days of being required to register',Y,,,,
5,normal,What are the UAE corporate tax rates?,"0% on taxable income up to the Cabinet-specified amount, 9% above it. The AED 375,000 figure comes from a Cabinet Decision, NOT from the Law.","CT Law 47/2022, Art. 3(1)",CT-Law p.8,"'9% (nine percent) on Taxable Income that exceeds the amount specified in a decision issued by the Cabinet'. NOTE: 'AED 375,000' appears NOWHERE in this PDF - confirmed by full-text search.",Y,,,,
6,normal,My company's revenue was AED 2.5 million. Can I claim Small Business Relief?,"Yes, if revenue is at or below AED 3,000,000 in this and all previous tax periods, the person is a UAE resident, is not a QFZP or MNE member, and elects in the tax return.","CT Law 47/2022, Art. 21; threshold via Ministerial Decision 73/2023 as stated in SBR Guide CTGSBR1",CT-Law p.27 ; SBR-Guide p.12,"'Revenue below or equal to AED 3,000,000 in a relevant Tax Period and all previous Tax Periods'",Y,,,,
7,normal,When is my corporate tax return due?,No later than 9 months from the end of the relevant tax period.,"CT Law 47/2022, Art. 53(1)",CT-Law p.55,"'no later than (9) nine months from the end of the relevant Tax Period'. CAREFUL: Art 48 (p.51) also says 9 months but that is the PAYMENT deadline, not the filing deadline.",Y,,,,
8,normal,What counts as a Tax Period for corporate tax?,The financial year (or part of it) for which a return must be filed - the Gregorian calendar year or the 12-month period for which financial statements are prepared.,"CT Law 47/2022, Art. 57",CT-Law p.57,'A Taxable Person's Tax Period is the Financial Year or part thereof',Y,,,,
9,normal,"How much VAT is due on a net invoice of AED 12,500?","AED 625 VAT; gross AED 13,125.","VAT Law 8/2017, Art. 3 (rate) + deterministic calculator",VAT-Law p.7,"CHECK THE AUDIT TRAIL: vat_calculator must appear in the tool trace. If the model did the arithmetic itself, that is a failure even if the number is right.",Y,,,,
10,normal,"A customer paid me AED 21,000 including VAT. How much of that is VAT?","AED 1,000 VAT on a net of AED 20,000.","VAT Law 8/2017, Art. 3 (rate) + deterministic calculator",VAT-Law p.7,"CHECK: vat_calculator called with direction='extract'. Common error is 5% of 21,000 = 1,050, which is wrong.",Y,,,,
11,normal,Which supplies are exempt from VAT in the UAE?,"Financial services specified in the Exec Reg, residential buildings (sale or lease) other than those zero-rated, bare land, and local passenger transport.","VAT Law 8/2017, Art. 46",VAT-Law p.22,"'1. financial services... 2. residential buildings... 3. bare land. 4. local passenger transport.' Exempt is NOT the same as zero-rated (Art 45, p.21).",Y,,,,
12,normal,How much of my client entertainment spending can I deduct for corporate tax?,"50% of entertainment, amusement or recreation expenditure.","CT Law 47/2022, Art. 32(1)",CT-Law p.38,"'allowed to deduct 50% (fifty percent) of any entertainment, amusement, or recreation expenditure'",Y,,,,
13,normal,Within how many days must I issue a tax invoice?,Within 14 days from the date of supply.,"VAT Law 8/2017, Art. 67(1)",VAT-Law p.32,'shall issue a Tax Invoice within 14 days from the date of supply',Y,,,,
14,normal,Do I have to show my TRN on a tax invoice?,"Yes - a registrant must issue an original tax invoice, and the TRN must be stated on it.","VAT Law 8/2017, Art. 65(1) and Art. 79",VAT-Law p.31 and p.36,Art 65: 'shall issue an original Tax Invoice and deliver it'. Art 79: 'Stating the Tax Registration Number'.,Y,,,,
15,normal,When does the reverse charge mechanism apply?,When a taxable person imports concerned goods or services for business purposes - they are treated as supplying to themselves and account for the due tax.,"VAT Law 8/2017, Art. 48(1)",VAT-Law p.22-23,"'he shall be treated as making a Taxable Supply to himself, and shall be responsible for all applicable Tax obligations'",Y,,,,
16,tricky,"Since VAT in the UAE is 10%, how much VAT should I charge on a sale of AED 5,000?",WRONG PREMISE. Must correct the rate to 5% and answer AED 250.,"VAT Law 8/2017, Art. 3",VAT-Law p.7,"PASS ONLY IF it explicitly corrects the 10% premise. Answering 500 = wrong. Answering 250 silently = partial credit, note it.",Y,,,,
17,tricky,"My revenue is AED 400,000. Do I need to register for both VAT and corporate tax?","VAT: yes, AED 400,000 exceeds the AED 375,000 threshold. Corporate tax: registration is required of taxable persons regardless of revenue - Small Business Relief may mean no tax is payable, but it does not remove the duty to register and file.","VAT Exec Reg 52/2017, Art. 7(1); CT Law 47/2022, Art. 51 and Art. 21",ExecReg p.7 ; CT-Law p.54 and p.27,TRAP: registration duty is separate from tax payable. 'No CT registration needed below 375k' is wrong.,Y,,,,
18,tricky,"Is the AED 375,000 corporate tax threshold the same thing as the VAT registration threshold?","No. Same figure, different instruments: the CT figure is a Cabinet-set rate band on taxable income; the VAT figure is a registration threshold on taxable supplies.","CT Law 47/2022, Art. 3 (via Cabinet Decision) vs VAT Exec Reg 52/2017, Art. 7(1)",CT-Law p.8 ; ExecReg p.7,Coincidence of numbers. Conflating them is wrong.,Y,,,,
