#,Type,Question,Expected answer (DRAFT - VERIFY),Source article (DRAFT - VERIFY),Where to look (PDF + page),Quote to confirm / scoring note,VERIFIED? (y/n),Mizan's answer,Answer verdict,Citation correct?,Notes
1,normal,What is the standard rate of VAT in the UAE?,5% on any taxable supply or import.,"VAT Law 8/2017, Art. 3",VAT-Law p.7,'a standard rate of 5% Tax shall be imposed on any supply or Import',,"The standard VAT rate in the UAE is **5 %**【VAT-Law-8-2017 | Article 3】.

**Sources:** VAT-Law-8-2017 | Article 3.",,,refused=False | api_flag=False | cites=chip x1 | calc=False | tools=search_regulations | 7.2s | 【VAT-Law-8-2017 | Article 3】
2,normal,What is the mandatory VAT registration threshold in the UAE?,"AED 375,000 of taxable supplies over the previous 12 months, or anticipated in the next 30 days.","VAT Exec Reg 52/2017, Art. 7(1) for the figure; VAT Law 8/2017, Art. 13(1) for the obligation",ExecReg p.7 ; VAT-Law p.10,"'The Mandatory Registration Threshold shall be AED 375,000'. The FIGURE is in the Exec Reg, NOT in VAT Law Art 13.",,"The UAE requires any business whose taxable supplies exceed **AED 375,000** in the previous 12 months (or are expected to exceed that amount in the next 30 days) to register for VAT. 【VAT-Executive-Regulation-52-2017 | Article 7】

**Sources:** VAT‑Executive‑Regulation‑52‑2017 | Article 7.",,,refused=False | api_flag=False | cites=chip x1 | calc=False | tools=search_regulations | 13.5s | 【VAT-Executive-Regulation-52-2017 | Article 7】
3,normal,What is the voluntary VAT registration threshold?,"AED 187,500 of taxable supplies or taxable expenses.","VAT Exec Reg 52/2017, Art. 8(1); VAT Law 8/2017, Art. 17",ExecReg p.8 ; VAT-Law p.12,"'The Voluntary Registration Threshold shall be AED 187,500'",,"The voluntary VAT registration threshold is **AED 187,500**. If, over the previous 12 months, the total value of your taxable supplies (or taxable expenses) exceeds this amount, you may choose to register voluntarily, and you can also register in advance if you can demonstrate that you will exceed the threshold in the next 30 days【VAT-Executive-Regulation-52-2017 | Article 8】.  

**Sources:**  
VAT‑Executive‑Regulation‑52‑2017 | Article 8.",,,refused=False | api_flag=False | cites=chip x1 | calc=False | tools=search_regulations | 12.9s | 【VAT-Executive-Regulation-52-2017 | Article 8】
4,normal,How long do I have to apply for VAT registration after I cross the threshold?,30 days from being required to register.,"VAT Exec Reg 52/2017, Art. 7(2)",ExecReg p.7,'must file a Tax Registration application with the Authority within 30 days of being required to register',,"You must submit a VAT registration application **within 30 days** of the moment you become liable to register.  

The liability arises when either:

* the total value of your taxable supplies in the **preceding 12 months** exceeds the Mandatory Registration Threshold (currently AED 375,000), or  
* you reasonably expect your supplies to exceed that threshold **in the next 30 days**.  

The Federal Tax Authority then has the power to register you automatically from the first day of the month after you were required to register if you do not apply.

**Sources**

* VAT Executive Regulation No. 52‑2017, **Article 7(2‑3)** – “the Person required to register … must file a Tax Registration application … within **30 (thirty) days** of being required to register …”  
* VAT Law No. 8‑2017, **Article 13(1‑b)** – defines when a person is required to register (exceeds threshold over the previous 12 months or is expected to exceed in the next 30 days).  ",,,"refused=False | api_flag=False | cites=PROSE ONLY | calc=False | tools=search_regulations,search_regulations | 26.2s | "
5,normal,What are the UAE corporate tax rates?,"0% on taxable income up to the Cabinet-specified amount, 9% above it. The AED 375,000 figure comes from a Cabinet Decision, NOT from the Law.","CT Law 47/2022, Art. 3(1)",CT-Law p.8,"'9% (nine percent) on Taxable Income that exceeds the amount specified in a decision issued by the Cabinet'. NOTE: 'AED 375,000' appears NOWHERE in this PDF - confirmed by full-text search.",,"The UAE Corporate Tax is applied in two bands:

| Taxable income (AED) | Rate |
|----------------------|------|
| Up to AED 375,000 | 0 % |
| Above AED 375,000 | 9 % |

Only the first AED 375,000 of a Taxable Person’s income in a tax period benefits from the 0 % rate; any amount above that is taxed at 9 % [CT‑General‑Guide‑CTGGCT1 | Article 40].

For Qualifying Free‑Zone Persons the same rates apply, but the 0 % rate is limited to **Qualifying Income** (income that meets the free‑zone conditions), while any other taxable income is taxed at 9 % [CT‑General‑Guide‑CTGGCT1 | Article 40].

**In short:**  
* 0 % on the first AED 375,000 (or on qualifying free‑zone income).  
* 9 % on all taxable income above that threshold.

**Sources:**  
- CT‑General‑Guide‑CTGGCT1 | Article 40 – Corporate Tax rates (0 % up to AED 375,000; 9 % above).  
- CT‑Taxable‑Income‑Guide | Article 20 – Same rate structure reiterated.",,,"refused=False | api_flag=False | cites=chip x1 | calc=False | tools=search_regulations,search_regulations | 51.2s | [CT‑General‑Guide‑CTGGCT1 | Article 40]"
6,normal,My company's revenue was AED 2.5 million. Can I claim Small Business Relief?,"Yes, if revenue is at or below AED 3,000,000 in this and all previous tax periods, the person is a UAE resident, is not a QFZP or MNE member, and elects in the tax return.","CT Law 47/2022, Art. 21; threshold via Ministerial Decision 73/2023 as stated in SBR Guide CTGSBR1",CT-Law p.27 ; SBR-Guide p.12,"'Revenue below or equal to AED 3,000,000 in a relevant Tax Period and all previous Tax Periods'",,"Yes – if your company is a UAE resident taxpayer and its revenue has **not exceeded AED 3 million in the current tax period and in every prior tax period**, you can elect to use Small Business Relief.  

The Small‑Business‑Relief guide states that “in order to elect for Small Business Relief, an eligible Taxable Person’s Revenue must be below or equal to AED 3,000,000 for the relevant Tax Period and all previous Tax Periods”【Small‑Business‑Relief‑Guide‑CTGSBR1 | Article 18】.  

Your revenue of AED 2.5 million is under that threshold, so you meet the core revenue condition. You will still need to satisfy the other eligibility requirements (e.g., being a resident person, preparing audited financial statements, not artificially separating the business, etc.) before making the election【Small‑Business‑Relief‑Guide‑CTGSBR1 | Article 18】.  

If those conditions are met, you can elect Small Business Relief and will be treated as having no taxable income for the period, resulting in no corporate tax liability.

**Sources:**  
- Small‑Business‑Relief‑Guide‑CTGSBR1 | Article 18 (Revenue threshold and eligibility).",,,refused=False | api_flag=False | cites=chip x1 | calc=False | tools=search_regulations | 25.7s | 【Small‑Business‑Relief‑Guide‑CTGSBR1 | Article 18】
7,normal,When is my corporate tax return due?,No later than 9 months from the end of the relevant tax period.,"CT Law 47/2022, Art. 53(1)",CT-Law p.55,"'no later than (9) nine months from the end of the relevant Tax Period'. CAREFUL: Art 48 (p.51) also says 9 months but that is the PAYMENT deadline, not the filing deadline.",,"Your corporate‑tax return must be filed **no later than nine months after the end of your Tax Period** (the financial‑year you use for accounting). The Federal Decree‑Law No 47 of 2022 states that a Taxable Person must submit the return within this nine‑month window, unless the Federal Tax Authority (FTA) gives you a different deadline. The same nine‑month period also applies to paying any tax that is due [Corporate‑Tax‑Law‑47‑2022 | Article 53].

**What this means for you**

* If your financial year ends 31 December 2025, the return (and any payment) must be lodged by 30 September 2026.  
* The FTA may set an earlier deadline, so keep an eye on any specific notice you receive.  

**Next steps**

1. Mark the nine‑month filing deadline on your calendar.  
2. Prepare your financial statements and compute taxable income before that date.  
3. Submit the return through the FTA portal and pay any tax due within the same nine‑month period.  

If you have a special situation (e.g., tax groups, loss‑carry‑forward, or you receive a different deadline from the FTA), it’s wise to have a tax professional review the details.

**Sources:**  
- Corporate‑Tax‑Law‑47‑2022 | Article 53 (filing deadline 9 months after Tax Period)  
- CT‑General‑Guide‑CTGGCT1 | Article 40 (payment also due within nine months)",,,"refused=False | api_flag=False | cites=chip x1 | calc=False | tools=search_regulations,search_regulations,search_regulations | 98.2s | [Corporate‑Tax‑Law‑47‑2022 | Article 53]"
8,normal,What counts as a Tax Period for corporate tax?,The financial year (or part of it) for which a return must be filed - the Gregorian calendar year or the 12-month period for which financial statements are prepared.,"CT Law 47/2022, Art. 57",CT-Law p.57,'A Taxable Person's Tax Period is the Financial Year or part thereof',,"A **Tax Period** is the stretch of time for which a Corporate Tax Return must be filed.

* **General rule** – It is the Taxable Person’s **financial year, or any part of it, that is covered by the return**. In practice this is normally the 12‑month period for which the entity prepares its financial statements [Corporate‑Tax‑Law‑47‑2022 | Article 57(1)].

* **If no financial statements are prepared** – the Tax Period defaults to the **Gregorian calendar year (1 Jan – 31 Dec)** [Corporate‑Tax‑Law‑47‑2022 | Article 57(2)].

* **Natural persons** (sole traders, partners, etc.) – their Tax Period is **always the Gregorian calendar year**, regardless of when they start business [CT‑General‑Guide‑CTGGCT1 | Article 40(6.2.1)].

* **Changing the Tax Period** – a Taxable Person can apply to the FTA to alter the start and end dates (the first new period must be at least 6 months and not longer than 18 months) [CT‑General‑Guide‑CTGGCT1 | Article 40(6.2.1)].

**In short:** a Tax Period is the 12‑month financial‑year window (or part of it) for which you file a Corporate Tax Return; if you don’t keep formal financial statements, it defaults to the calendar year, and natural persons are always on the calendar year.

**Sources:**  
- Corporate‑Tax‑Law‑47‑2022 | Article 57 (definition of Tax Period)  
- CT‑General‑Guide‑CTGGCT1 | Article 40 (details on financial‑year vs calendar‑year and natural persons)",,,"refused=False | api_flag=False | cites=chip x3 | calc=False | tools=search_regulations,search_regulations | 55.8s | [CT‑General‑Guide‑CTGGCT1 | Article 40(6.2.1)] ; [Corporate‑Tax‑Law‑47‑2022 | Article 57(1)] ; [Corporate‑Tax‑Law‑47‑2022 | Article 57(2)]"
9,normal,"How much VAT is due on a net invoice of AED 12,500?","AED 625 VAT; gross AED 13,125.","VAT Law 8/2017, Art. 3 (rate) + deterministic calculator",VAT-Law p.7,"CHECK THE AUDIT TRAIL: vat_calculator must appear in the tool trace. If the model did the arithmetic itself, that is a failure even if the number is right.",,"The standard UAE VAT rate is 5 % [VAT‑Law‑8‑2017 | Article 3].  
Adding 5 % to a net amount of AED 12,500 gives a VAT liability of AED 625, making the total (gross) invoice AED 13,125.

**Sources:** VAT‑Law‑8‑2017 | Article 3.",,,"refused=False | api_flag=False | cites=chip x1 | calc=True | tools=search_regulations,vat_calculator | 43.3s | [VAT‑Law‑8‑2017 | Article 3]"
10,normal,"A customer paid me AED 21,000 including VAT. How much of that is VAT?","AED 1,000 VAT on a net of AED 20,000.","VAT Law 8/2017, Art. 3 (rate) + deterministic calculator",VAT-Law p.7,"CHECK: vat_calculator called with direction='extract'. Common error is 5% of 21,000 = 1,050, which is wrong.",,"The VAT portion of an AED 21,000 invoice (including VAT) is **AED 1,000**. The remaining AED 20,000 is the net amount for the supply.

**Sources:**  
[VAT‑Law‑8‑2017 | Article 3] – establishes the standard VAT rate of 5 % in the UAE.",,,"refused=False | api_flag=False | cites=chip x1 | calc=True | tools=search_regulations,vat_calculator | 27.8s | [VAT‑Law‑8‑2017 | Article 3]"
11,normal,Which supplies are exempt from VAT in the UAE?,"Financial services specified in the Exec Reg, residential buildings (sale or lease) other than those zero-rated, bare land, and local passenger transport.","VAT Law 8/2017, Art. 46",VAT-Law p.22,"'1. financial services... 2. residential buildings... 3. bare land. 4. local passenger transport.' Exempt is NOT the same as zero-rated (Art 45, p.21).",,"In the UAE VAT law, **Article 46** lists the supplies that are exempt from VAT. The exempt supplies are:

1. **Financial services** that are specifically named in the Executive Regulation of the VAT Decree‑Law.  
2. **Residential buildings** that are sold or leased (unless they fall under the zero‑rate rules in Articles 45 clauses 9 and 11).  
3. **Bare land** (i.e., undeveloped land).  
4. **Local passenger transport** (e.g., intra‑Emirate bus, taxi or metro services).  

The Executive Regulation further sets the detailed conditions and controls for each of these exemptions. [VAT‑Law‑8‑2017 | Article 46]

**Sources:**  
VAT‑Law‑8‑2017 | Article 46.",,,refused=False | api_flag=False | cites=chip x1 | calc=False | tools=search_regulations | 13.5s | [VAT‑Law‑8‑2017 | Article 46]
